,Date,Time,Open,High,Low,Close,Volume,chikou_span,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
0,2011.10.14,00:00,1.37765,1.38935,1.3723100000000001,1.38772,79276,1.3539,64109.34741784014,79276,,,,,,12541.64193282018,1000.0,,0.0,,,,,,0.0,0.0,,1.4001666666666666,1.366086666666667,,0.634780907668233,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.38083,1.1975707694033197,1.2021385825199644,,,,,,0.0,0.0,,,,,,,,,,15.826083580697837,,0.0
1,2011.10.16,00:00,1.3878,1.38856,1.38602,1.38775,1313,1.3463100000000001,64584.92222098976,80589,,,,1.2496877380045457,,12546.314404122575,1000.021618193872,,0.0,,,,,,0.0,0.0,,1.3950749999999998,1.375495,,0.6258937691522048,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.38083,1.1975707694033197,1.2021385825199644,,,,,,0.0,0.0,,,,,,,,,,0.0021618193871919544,0.002161796020216933,0.0021618193871919544
2,2011.10.17,00:00,1.38655,1.39139,1.3725399999999999,1.37371,82980,1.3457700000000001,-8094.112261767856,-2391,,,,-0.12096438900940315,,-839.4882429461097,1000.021618193872,,0.0,,,,,,0.0,0.0,,1.3960711111111108,1.3704511111111108,,0.12720097146327664,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.38185,1.1975707694033197,1.2021385825199644,,,,,1.38935,0.0,1.0,,,,,,,,,,-1.011709601873545,-1.0168621655794574,-1.0095696538206633
3,2011.10.18,00:00,1.37371,1.3816899999999999,1.3652600000000001,1.37513,92915,1.35238,10624.612631719556,90524,,,,-0.15012721304417562,,-743.4706645128999,1000.021618193872,,0.0,,,,,,0.0,0.0,,1.3946674999999997,1.3672374999999999,,0.28773240977032905,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.378325,1.1975707694033197,1.2021385825199644,,,,,1.39139,0.0,0.0,,,,,,,,,,0.10336970685225211,0.10331631716011813,-0.9072435361600406
4,2011.10.19,00:00,1.37511,1.38688,1.37249,1.37602,89933,1.3525,-35185.595151462505,180457,,,,0.09936497170115365,,154.2516382215761,1000.6688437217803,,0.0,,,,,,0.0,0.0,,1.3943046666666663,1.3666046666666667,,0.33990373044525135,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.378325,1.1975707694033197,1.2021385825199644,,,,,1.39139,0.0,0.0,,,,,,,,,,0.06472115363638231,0.06470021853022256,-0.8431095610065498
5,2011.10.20,00:00,1.37602,1.3842700000000001,1.3656,1.37796,94978,1.34891,-4408.042928644896,275435,,,,-0.09337162290214515,,192.1116648383374,1000.6688437217803,,0.0,,,,,,0.0,0.0,,1.394356111111111,1.3650494444444445,,0.4405330603579049,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.378325,1.1975707694033197,1.2021385825199644,,,,,1.3903447999999998,0.0,0.0,,,,,,,,,,0.14098632287322665,0.14088703047187567,-0.7033119073011851
6,2011.10.21,00:00,1.37798,1.39006,1.37038,1.3891,82195,1.35045,69767.93268111066,357630,,,,0.12653908388588167,,798.404451232323,1008.7586655736922,,0.0,,,,,,0.0,0.0,,1.3955709523809523,1.3648280952380953,,0.7895136307311043,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.378325,1.1975707694033197,1.2021385825199644,,,,1.3652600000000001,,1.0,0.0,,,,,,,,,,0.8084414641934323,0.8051910827245268,0.09944369181102974
7,2011.10.23,00:00,1.38436,1.38711,1.38401,1.3869,336,1.33412,70058.4101004655,357294,,,,4.926785714285888,,663.9663183795515,1007.1610346873182,,0.0,,,,,,0.0,0.0,,1.3947629166666666,1.3670879166666667,,0.7158837699488116,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.378325,1.1975707694033197,1.2021385825199644,,,,1.3656,,0.0,0.0,,,,,,,,,,-0.15837592685911117,-0.15850147410541027,-0.05908972991670591
8,2011.10.24,00:00,1.3844100000000001,1.39561,1.3822,1.3928200000000002,79819,1.3345799999999999,116664.13493268187,437113,,,,0.05619770981846466,,340.1762569146031,1007.1610346873182,,0.0,,,,,,0.0,0.0,,1.395747037037037,1.3681670370370371,,0.8938710283887998,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,1.380435,,,1.380435,1.1975707694033197,1.2021385825199644,,,,1.3660892,,0.0,0.0,,,,,,,,,,0.4268512509914224,0.4259428252061659,0.367509295823365
9,2011.10.25,00:00,1.3928200000000002,1.3959700000000002,1.38521,1.39066,83660,1.32375,117752.64794383278,353453,,,,0.021671766674636248,,210.9675864276568,1007.1610346873182,,0.013685999999999999,,,,,,0.0,0.0,1.3828226666666665,1.3963096666666668,1.3693356666666667,1.9506478054067227,0.7905513951706545,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,1.3806150000000001,,,1.3806150000000001,1.1975707694033197,1.2021385825199644,,,,1.367270032,,0.0,0.0,,,,,,,,1.39066,,-0.15508105857182652,-0.15520143371426376,0.21185829994523342
10,2011.10.26,00:00,1.39066,1.3975,1.3798,1.3906,83180,1.3311,136080.44455400333,270273,,,,-0.041281558066846594,,-133.32961316398737,1007.1175807430893,,0.014087400000000005,,,,,,0.0,0.0,1.3834399999999998,1.396993,1.3698869999999999,1.9593187995142602,0.7641481590791761,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,1.38138,,,1.38138,1.1975707694033197,1.2021385825199644,,,,1.36899203008,,0.0,0.0,,,,,,,,1.3906592990082736,,-0.004314498151958279,-0.004314591229098719,0.2075346611708495
11,2011.10.27,00:00,1.39057,1.42465,1.3864,1.41875,91731,1.33191,199512.73082851298,362004,,,,0.7036538901788942,,1853.3273876944977,1007.1175807430893,,0.016503659999999996,,,,,,0.0,0.0,1.3856889999999997,1.4028129999999999,1.3685649999999998,2.4715502540613414,1.4653410418126624,1.0,0.0,,,,,,1.3872600000000002,,1.3915978734909138,,0.0,0.0,0.0,,,,,,,,,,,1.394955,,,1.394955,1.1975707694033197,1.2021385825199644,,,,1.3712726676736,,0.0,0.0,,,,,,,,1.39389416582866,,2.024306054940306,2.0040893564795272,2.236041852823334
12,2011.10.28,00:00,1.41875,1.42002,1.41334,1.41449,75439,1.3315700000000001,150048.23681653652,286565,,,,0.09877569957184003,,1630.3997890194105,1004.0935660160652,,0.015521294,,,,,,0.0,0.0,1.3893626666666665,1.4052696666666666,1.3734556666666664,2.2898268942498503,1.28981999538987,1.0,0.0,,,,,,1.3894908333333333,,1.3951197391076964,,0.0,0.0,0.0,,,,,,,,,,,1.395125,,,1.394955,1.1975707694033197,1.2021385825199644,,,,1.37661040090624,,0.0,0.0,,,,,,,,1.3987762672032455,1.9290634998414637,-0.30026431718060964,-0.3007160148994603,1.9290634998414546
13,2011.10.30,00:00,1.4150200000000002,1.41616,1.41396,1.41432,1945,1.34456,148739.78227108184,284620,,276.9210191541509,58.886048094286195,-0.18323907455012176,,-226.75015740196213,1003.972889372029,1.3878527786598558,0.014189164599999998,,,,,,0.0,0.0,1.393441333333333,1.4079253333333333,1.378957333333333,2.0788819239848633,1.2207493325968897,1.0,0.0,,,,,,1.391705,,1.39807362539882,,0.0,0.0,0.0,,,,,,,,,,,1.395125,,,1.394955,1.1975707694033197,1.2021385825199644,,,,1.381414360815616,,0.0,0.0,73.51726723345098,,,82.60649941067523,,-17.393500589324766,,1.40234742635749,1.9146099801837493,-0.012018466019558804,-0.012019188295053773,1.9168131899806928
