2012.01.24,00:00,1.30133,1.30624,1.29530,1.30353,63138
2012.01.25,00:00,1.30348,1.31202,1.29307,1.31057,64465
2012.01.26,00:00,1.31061,1.31837,1.30897,1.31080,65566
2012.01.27,00:00,1.31072,1.32336,1.30774,1.32192,72358
2012.01.30,00:00,1.32235,1.32240,1.30765,1.31429,71461
2012.01.31,00:00,1.31433,1.32131,1.30415,1.30831,81822
2012.02.01,00:00,1.30830,1.32178,1.30259,1.31602,78017
2012.02.02,00:00,1.31602,1.31966,1.30850,1.31433,73619
2012.02.03,00:00,1.31437,1.32050,1.30658,1.31563,70673
2012.02.06,00:00,1.31187,1.31413,1.30275,1.31295,68945
2012.02.07,00:00,1.31296,1.32695,1.30889,1.32604,73702
2012.02.08,00:00,1.32601,1.32881,1.32205,1.32597,72250
2012.02.09,00:00,1.32598,1.33210,1.32141,1.32852,75520
2012.02.10,00:00,1.32853,1.32905,1.31550,1.31961,66098
2012.02.13,00:00,1.32088,1.32836,1.31858,1.31860,66939
2012.02.14,00:00,1.31860,1.32154,1.30796,1.31333,75396
2012.02.15,00:00,1.31331,1.31903,1.30438,1.30652,76946
2012.02.16,00:00,1.30653,1.31580,1.29743,1.31298,79576
2012.02.17,00:00,1.31298,1.31971,1.31149,1.31388,64303
2012.02.20,00:00,1.31768,1.32766,1.31728,1.32419,52696
2012.02.21,00:00,1.32424,1.32926,1.31867,1.32329,74928
2012.02.22,00:00,1.32329,1.32660,1.32110,1.32480,65074
2012.02.23,00:00,1.32480,1.33779,1.32310,1.33716,63006
2012.02.24,00:00,1.33723,1.34857,1.33568,1.34461,60880
2012.02.27,00:00,1.34598,1.34791,1.33658,1.33966,71488
2012.02.28,00:00,1.33966,1.34708,1.33884,1.34580,71878
2012.02.29,00:00,1.34579,1.34853,1.33145,1.33238,78729
2012.03.01,00:00,1.33237,1.33560,1.32820,1.33101,73117
2012.03.02,00:00,1.33100,1.33326,1.31864,1.31970,64238
2012.03.05,00:00,1.31950,1.32407,1.31597,1.32163,68304
2012.03.06,00:00,1.32162,1.32256,1.31031,1.31123,71768
2012.03.07,00:00,1.31117,1.31638,1.30959,1.31491,65747
2012.03.08,00:00,1.31490,1.32908,1.31348,1.32741,66598
2012.03.09,00:00,1.32740,1.32772,1.30963,1.31227,64101
2012.03.12,00:00,1.31205,1.31583,1.30788,1.31473,59050
2012.03.13,00:00,1.31487,1.31911,1.30518,1.30805,66085
2012.03.14,00:00,1.30802,1.30900,1.30108,1.30298,62261
2012.03.15,00:00,1.30301,1.31192,1.30035,1.30785,63269
2012.03.16,00:00,1.30786,1.31869,1.30486,1.31732,55027
2012.03.19,00:00,1.31827,1.32648,1.31416,1.32370,49686
2012.03.20,00:00,1.32370,1.32516,1.31720,1.32239,55174
2012.03.21,00:00,1.32241,1.32845,1.31785,1.32118,59052
2012.03.22,00:00,1.32135,1.32543,1.31333,1.31980,69318
2012.03.23,00:00,1.31979,1.32930,1.31903,1.32684,63179
2012.03.26,00:00,1.32704,1.33673,1.31915,1.33566,64023
2012.03.27,00:00,1.33569,1.33851,1.33121,1.33124,59207
2012.03.28,00:00,1.33131,1.33728,1.32773,1.33157,65167
2012.03.29,00:00,1.33154,1.33450,1.32517,1.33014,63924
2012.03.30,00:00,1.33011,1.33763,1.32937,1.33403,62982
2012.04.02,00:00,1.33601,1.33803,1.32777,1.33197,60933
2012.04.03,00:00,1.33194,1.33671,1.32131,1.32325,65484
2012.04.04,00:00,1.32325,1.32384,1.31073,1.31414,70484
2012.04.05,00:00,1.31414,1.31642,1.30350,1.30648,57985
